,source,english_sentence,hindi_sentence,translated_base
41744,ted,that 93 percent of Indian labor,कि भारतीय श्रमिक का ९३ प्रतिशत,The Indian Workers 9 3 percent
118231,indic2012,"Great poet and writer Mahadevi Verma, apart from being excellent in literature and music, was a great painter and creative translation.",प्रतिभावान कवयित्री और गद्य लेखिका महादेवी वर्मा साहित्य और संगीत में निपुण होने के साथ साथ कुशल चित्रकार और सृजनात्मक अनुवादक भी थीं।,Talented poet and prose writer Mahadevi Verma were literature and accomplished painter and creative translator with a master in music.
1831,ted,"Higher the local fit,","जितना ही स्थानीय जुडाव होगा,","The more local engagement,"
90296,tides,"Still nervous about speaking to foreigners , Said recounted the afternoon of September 28 that year , when she learned her education had been banned : ” I felt my world fall apart .","विदेशियों से बातचीत करने में अब भी हिचक रहीं सईद उस साल के 28 सितंबर की शाम को शिक्षा पर लगे प्रतिबंध की याद करती हैं , ' ' मुज्हो अपनी दुनिया ढहती दिखी .","To interact with foreigners still remained hesitant Saeed recalls the ban on education in the evening of September 28 of that year, &#39;&#39; Mujho saw crumbling world."
91339,indic2012,Number stanzas in Brahma Puran is ten thousand.,ब्रह्मपुराण में श्लोकों की संख्या दस हजार हैं।,The number of verses in Brhmpuran ten thousand.
30312,tides,"At the age of five years , there are two permanent incisors .",5 वर्ष की उम्र में दो स्थायी छेदक दांत होते हैं .,At the age of 5 years are two permanent incisor teeth.
63661,tides,"If your child is registered at a school , he or she must go to school on time every day during term-time , unless there is a good reason -LRB- such as illness -RRB- .","यदि आपका बच्चे/बच्ची का नाम किसी स्कूल में दर्ज ( रजिस्टर्ड ) है , तो सत्र - काल ( टर्म - टाइम ) के दौरान उसे दिन समय पर स्कूल जाना चाहिए , सिवाय जबकि न जाने की कोई उचित/पर्याप्त वजह हो ( जैसा कि बिमारी ) |भाष्;","If your child / children&#39;s name in a school (registered), then season - period (term - time) it should go to school on the days when, but while not being a proper / adequate reason (such as illness ) | Bash;"
107992,tides,When the Pandit came to fetch his turban he noticed the second verse and stared at the dyer 's daughter .,पंडित जब अपनी पगड़ी लेने आया तो इस नई पदपंक्ति को देखकर वह रंगरेज की लड़की की ओर देखता ही रह गया .,Pandit came to his turban so this new Pdpankti was left seeing he sees the girl of dyers.
32510,ted,like my wish that no one went hungry,जैसे मेरी यह इच्छा कि कोई भूखा न रहे,Like my wish that no one hungry
46095,indic2012,Fort tourism authority,किला पर्यटन विभाग के अधिकार में,Rights of Fort Tourism Department
63483,indic2012,after studing a lot they came to conclusion that there atre some related verses iin quran,उन्होंने उनका अध्ययन करने के पश्चात कहा कि ‎भ्रूण शास्त्र के संबंध में क़ुरआन में वर्णन ठीक आधुनिक खोज़ों के अनुरूप ‎हैं।,He said after his studies in accordance with that described in the Qur&#39;an in relation to fetal scriptures properly advanced searches on.
59055,ted,So this is a pattern that assumes we're all in this together.,तो यह एक ख़ाका है जो यह सोच कर चलता है कि हम सब इस में एक साथ हैं.,If it&#39;s a layout suggests that thinking that we are all together in this.
39756,tides,"And yet muddied and bereft of their pride , they will fertilise the land and help mankind .",फिर भी कांदो-कीचड़ से लथपथ और अपने गौरव से च्युत हो जाने के बावजूद यह जल जमीन को उपजाऊ बनाएगा और मानवता की सहायता करेगा .,Yet despite being soaked Condo-mud and dismissal from his glory it will create fertile ground water and will help humanity.
100545,indic2012,"Dhanpat Rai Shreevastav, who wrote with pen name Premchand (31 July 1880 - 8 October 1936) was one of the greatest Indian , Hindi and Urdu writers.",प्रेमचंद (३१ जुलाई १८८० - ८ अक्तूबर १९३६) के उपनाम से लिखने वाले धनपत राय श्रीवास्तव हिन्दी और उर्दू के महानतम भारतीय लेखकों में से एक हैं।,"Premchand (July 31, 1880 - 8 October 1 9 36) Dnpt opinion writing the surname Srivastava Hindi and one of the greatest writers of Urdu."
51692,tides,There is an interesting story regarding this aspect of his character .,उसके चरित्र में इससे संबंधित एक रोचक कहानी है .,In her character relates an interesting story.
35407,ted,"which I did, and then I realized that collecting tips was where you made all the money.","जो कि मैने किया, और तब मुझे पता लगा कि सारा पैसा तो असल में टिप्स में था ।","Which I did, and then I began to realize that all the money was in fact tips."
14329,tides,"Besides the above constitutional requirements , the election laws lay down some more disqualifications .","11 उपरोक़्त अपेक्षाओं के अतिरिक़्त , निर्वाचन विधियों में कुछ अन्य अनर्हताएं भी निर्धारित की गई हैं .","11 Atirikht the Uprokht expectations, some other Anrhtaan election laws also went to set."
4352,indic2012,Bhaktapur Durbar Square was constructed in the 16th and 17th century.,भक्तपुर के दरबार स्क्वैयर का निर्माण 16वीं और 17वीं शताब्दी में हुआ था।,Court Bhaktapur Construction square was in the 16th and 17th centuries.
47086,tides,"In India , the elephant was employed in tiger-hunts .",भारत में शेर के शिकार के लिए भी हाथी का इस्तेमाल किया जाता है .,India has used the elephant to hunt lions.
123892,tides,Any surprise that we should ask if he is joining the Congress party ?,"कोई आश्चर्य होगा , अगर हम पूछें कि क्या वे कांग्रेस में शामिल हो रहे हैं ?","No wonder, if we ask whether they are involved in the Congress?"
127019,ted,"extremely small - and it is almost perfect,","इतना सूक्ष्म - और ये लगभग परिपूर्ण ही है,","So subtle - and it is almost perfect,"
50088,tides,"The sub-bottom profiler , which penetrates deep under the seabed to give a cross-section view , confirmed the Acropolis structure .",समुद्र के तल में गहरे जाकर क्षैतिज चित्र लेने वाले सब-बॉटम प्रोफाइलर ने नगर दुर्ग वाली रचना की तो पुष्टि कर दी .,All who go deep horizontal image ocean floor-bottom profiler confirmed the creation of a city fortified by.
51290,indic2012,See this also,यह भी देखें,See also
9957,ted,"it shuts down the prefrontal cortex, the parts which learn,","यह prefrontal प्रांतस्था को बंद कर देता हैं जो सीखता हैं,","It closes the prefrontal cortex, which learns,"
110988,ted,English language was seen as a language of the imperialists.,अंग्रेजी भाषा साम्राज्यवाद की भाषा के रूप में देखी गयी थी.,Was viewed as the English colonial language.
94844,tides,"Privately bought goods do not have to be free of faults , but they must be as described .","निजी आधार पर ख़रीदे सामान का गड़बड़ियों से मुक्त होना ज़रूरी नहीं है , पर उनको वैसा ही होना चाहिए जैसा कि उनका वर्णन किया गया है .","You do not need to be free of faults purchased goods on a private basis, as they should be the same that he was describing."
3403,indic2012,The recent digging work here has established that this region has availability high quality of gas.,हाल ही की खुदाई से पता चला है कि इस क्षेत्र में उच्च कि की गैस प्रचुर मात्रा में उपलब्ध है।,Recent gas high in the region showed that the excavation is abundant.
7883,ted,"to research, to experiment, to fail,","शोध, प्रयोग करने, असफ़ल होने,","Research, experiment, having failed,"
124999,tides,Most of the uneconomic units were located in West Bengal and Madras .,अधिकांश अनार्थिक इकाइयां पश्चिमी बंगाल और और मद्रास में थीं .,Most uneconomical units in West Bengal and Madras.
124432,tides,"A child who possesses a M or N antigen , not present in the putative parent , cannot be his offspring .",यदि किसी शिशु के रक्त में ं अथवा ण् प्रतिजिन उपस्थित है परंतु कथित जनक के रक्त में नहीं है तो वह शिशु इस व्यक्ति की संतान नहीं हो सकता .,"If a baby is present not in the blood or N Pratijin but not in the blood of the alleged father, he can not be born baby this person."
34962,indic2012,"Gandhiji claimed the defeat of Sitarmayya as his own defeat and told his colleagues that if they are not satisfied by Subhashbabu's methods, they can leave the Congress.",गाँधीजी ने पट्टाभी सितारमैय्या की हार को अपनी हार बताकर अपने साथीयों से कह दिया कि अगर वें सुभाषबाबू के तरिकों से सहमत नहीं हैं तो वें कांग्रेस से हट सकतें हैं।,"Gandhi, who can tell their defeat to defeat Pattabhi Sitarmayya out of th Congress that if told his Sathyyon disagree with Trikon th Subhashbabu."
75079,indic2012,Telugu,तेलुगु,Telugu
84371,tides,When can I appeal to the tribunal ?,मैं ट्रिब्यूनल से कब अपील कर सकता/सकती हूँ ? .,I / When can appeal to us? .
25803,ted,"This is not a negotiable thing, hunger.",भूख नाम की चीज़ के साथ समझौता मुमकिन नहीं है.,Agreement with what appetite name is not possible.
105519,tides,"A vital part of the home market , comprising a population of 70 million in some of the most prosperous parts of the country , was overnight converted into a foreign market .","स्वदेशी मंडी का एक बहुत बड़ा हिस्सा , जिसमें देश के सर्वाधिक समृद्ध क्षेत्र की 7 करोड़ जनसंख़्या रहती थी , अब रातों रात विदेशी मंडी बन गयी थी .","A large part of the domestic market, which lived 7 million Jnsnkhya the most prosperous region of the country, now became overnight forex market."
95426,indic2012,"The Executive has three wings i.e.; President, Vice-President, a Cabinet",कार्यपालिका के तीन अंग हैं - राष्ट्रपति उपराष्ट्रपति और मंत्रिमंडल।,Executive has three components - Vice President and Cabinet.
42173,indic2012,2]Second time by the recommendation of vayas his students read it again.,२) दूसरी बार व्यास जी के कहने पर उनके शिष्य वैशम्पायन जी द्वारा पुनः इसी भारत महाकाव्य को जनमेजय के यज्ञ समारोह में ऋषि-मुनियों को सुनाना।,2) to hear again the Indian epic to say the second diameter live by his disciple vaishampayan living saints in the sacrificial ceremony Janamejaya.
95814,ted,you can read the structure and the ideology of the country.,आप एक देश के ढाँचे और सिद्धांत को पढ सकते हैं।,You can read the structure and the principle of one country.
110638,indic2012,There are many special characteristics in the energy directly obtained from the sun.,सूर्य से सीधे प्राप्त होने वाली ऊर्जा में कई खास विशेषताएं हैं।,There are several special features in the energy directly from the sun.
122542,tides,The law makes it an offence to :,कायदा निम्नलिखित कृत्यों को गुनाह मानता है :,The law considers a crime the following acts:
87886,ted,"This is not mine, by the way.",यह मेरा तरीका नहीं है.,It&#39;s not my style.
49304,indic2012,Currency,मुद्रा,Currency
17394,ted,"somewhat ceremoniously,","काफ़ी आयोजित से तरीके से,","By way too organized,"
102897,tides,The goat gives birth while lying down .,बकरी लेटे लेटे प्रसव करती है .,Goat&#39;s lying lying deliveries.
10892,ted,the opportunity she's given me,उसने मुझे यहाँ उपस्थित रहने का,He has to be present me here
30180,tides,"Yet the answers that they gave indicated sufficiently clearly that there was no intention and , so far as they were concerned , no possibility of the ending of the imperialist structure in India , no question of power being transferred to the people 's representatives .","Zफिर भी जो जवाब इस सरकार ने दिये उनसे काफी कुछ और साफ साफ यह लगा कि जहां तक उनका ताल्लुक है , हिंदुस्तान में साम्राज़्यवादी ढांचे को खत्म करने का न तो कोई इरादा है और न ही कोई संभावना , जनता के नुमाइंदों को शासन की बागडोर सौंपने का सवाल ही नहीं","Z then whatever answer handing the government is not an intention to have given them a lot and clearly felt that as far as he does, eliminate Samrajhywadi framework in India nor the reins of a chance, government representatives of the public the question is not"
99451,ted,"when I see, 10 feet in front of me, a little boy - 11 years old -","मैने देखा कि मुझसे सिर्फ़ दस फ़ीट की दूरी पर, एक छोटा सा ११ साल का लडका -","I saw me at a distance of only ten feet, the boy a little over 11 years -"
125793,tides,It also served along with the British navy as the chief instrument for the defence of the British empire on a global scale .,इसने पूरी दुनिया में ब्रितानी साम्राज्य की रक्षा के लिए ब्रितानी नौ-सैना के साथ साथ नौ-सेना के एक मुख्य औजार के रूप में कार्य किया .,It served as a key instrument of the Navy with the British nine-Sena to protect the British empire in the world.
62829,tides,"Last month , when Madhya Pradesh Chief Minister Digvijay Singh called for a meeting of Congress chief ministers to discuss an amendment -LRB- read dilution -RRB- to the stringent-and antiquated-Forest Conservation Act , he got a terse reply from Sonia Gandhi addressed to all Congress chief ministers .",पिछले महीने मध्य प्रदेश के मुयमंत्री दिग्विजय सिंह ने जब क ओर-और पुराने पड़े चुके-वन संरक्षण कानून में संशोधन पर चर्चा के लिए कांग्रेसी मुयमंत्रियों की बै क बुलई तो उन्हें सोनिया गांधी की ओर से तीखा जवाब मिल जो सभी कांग्रेसी मुयमंत्रियों को संबोधित किया गया था .,Last month Muymntri Digvijay Singh in Madhya Pradesh have also had a hand-old when forest conservation meeting of Buli Congress Muymntrion to discuss amendments to the law to get them tart response from Sonia Gandhi addressed the Congress Muymntrion I went .
80146,tides,"Arsenic enters water courses via the discharge of sheep-dipping effluents and through the use of fungicides and weedicides , thus affecting the process of heredity .","आर्सेनिक पानी में शीप डिपिंग ( मेष निमज्जन ) अपशिष्टों के छोड़े जाने से और कवकनाशियों तथा खरपतवारनाशियों के उपयोग के कारण पहुंचता है , इसलिए यह आनुवंशिकता की प्रक्रिया को प्रभावित करता है .","Arsenic Sheep dipping (mesh immersion in water) reaches the discharge of waste and the use of fungicides and Krptwarnashion, so it affects the genetic process."
71190,ted,to facts about the conscious experience -,- तथ्य जो कि सचेतन प्राणियों के,Of - the sentient beings that fact
124873,tides,A . Simply because someone has made the Centre happy by bribing does it become a strategic partner ?,क्या कोई कंपनी इसलिए रणनैतिक साज्हीदार बन सकती है कि उसने केंद्र सरकार को घूस देकर खुश कर लिया ?,Whether a company can become so strategic Sajhidar be happy he bribes the central government?
23169,tides,Clauses 3 and 4 of article 15 embody exceptions to the general principles of non-discrimination .,"अनुच्छेद 15 के खंड ( 3 ) तथा ( 4 ) में , विभेद न करने के सामान्य सिद्धांतों के अपवाद अंतर्निहित हैं .",Section of Article 15 (3) and (4) that the underlying exception to the general principles of non-discrimination.
18419,tides,"Consequently , the large joint family units are breaking up into smaller ones consisting of husband , wife and children .","परिणामस्वरूप बड़ी संयुक़्त परिवार इकाइयां छोटी इकाइयों में , जिसमें पति-पत्नी और बच्चे शामिल रहते हैं , टूट रही है .","As a result large unctad united family units are in small units, while including spouses and children, broken."
70098,indic2012,These are not removed until they are deleted or replaced.,येह तब तक नही हटते है जब तक इन्हे हटाया न जाये या ये रिपलेस न हो जाये|,These are the leaves not long until them not removed or they Riples should not |
2205,indic2012,Hence in Ved Karmkand and Gayankand - All enunciation the both subject.,अतः वेद में कर्मकाण्ड और ज्ञानकाण्ड - इन दोनों विषयों का सर्वांगीण निरुपण किया गया है।,So ritual Veda and Gyankand - has overall representation of these two subjects.
126827,tides,Among these were ignorant people worshipping tribal gods and goddesses .,इनमें अZआदिम देवी-देवों की पूजा करने वाले अज्ञानी जन भी थे .,These include a Z primitive goddesses were ignorant people who worship the gods.
59912,indic2012,Single of the High Court decision which Divisional / bench / can be challenged in the Supreme Court,एकल जिसके निर्णय को उच्च न्यायालय की डिवीजनल/खंडपीठ/सर्वोच्च न्यायालय मे चुनौती दी जा सकती है,Single which decisions can be challenged in the Divisional / court / Supreme Court of the High Court
32986,tides,Middle White is early maturing and a well-known producer of high-class pork at comparatively low cost .,मधऋ-ऊण्श्छ्ष्-यम सफेद यार्कशायर नसऋ-ऊण्श्छ्ष्-ल के सूअर बडऋई जलऋ-ऊण्श्छ्ष्-दी बडऋए हो जाते हैं.बढऋयिआ किसऋ-ऊण्श्छ्ष्-म के सूअर मांस के उतऋ-ऊण्श्छ्ष्-पादक के रूप में यह नसऋ-ऊण्श्छ्ष्-ल प्रसिद्ध है .,Mdhri-Unshrcrsh-through white Yorkshire Nshri-Unshrcrsh-L swine Bdhrii Jlhri-Unshrcrsh-reported become Bdhria Hankbdhriyia Kishri-Unshrcrsh-boar meat Uthri-Unshrcrsh-productive as it Nshri-Unshrcrsh-L-known in is .
124079,tides,"A statement of war aims should thus include : the liberation of countries taken by Hitler , the ending of the Nazi regime , no truce or pacts with fascist powers , and the extension of democracy and freedom by the winding up of the imperialist structure and the application of the principle of self-determination .","इस युद्ध के उद्देश्यों के बारें में जो घोषण की जाये , उसमें ये बातें शामिल होनी चाहिए : हिटलर ने जिन मुल्कों पर कब्जा कर लिया है , उनकी मुक़्ति , नात्सी शासन का अंत , किसी भी फासिस्ट ताकत के साथ युद्ध विराम या कोई दूसरा समझौता न करना और साम्राज़्यवादी ढांचे को खत्म कर लोकतंत्र और आजादी की स्थापना और खुद निर्णय करने का सिद्धांत लागू करना .","About the war objectives which should be announced, it must include these things: Hitler occupied by such countries, their Mukhti end of Natsi rule, any not break or some other compromise war with fascist force to and Samrajhywadi framework founded on democracy and freedom over and apply the principles to their own decision."
65452,ted,"And if I go back in time, I've added some historical statistics -","और अगर हम समय में वापस चलें, मैने कुछ ऐतिहासिक आँकडे जोडे हैं -","And if we go back in time, I have some historical data words -"
24254,tides,"1 . You are a “ carer ” if you look after a relative , friend or disabled child who needs support to live at home .","1 अगर आप कोऋ रिश्तेदार , विकलांग बच्चे या इऋर दोस्त की देखभाल कर रहे है ऋन्हें उन के मकान में रहने के लिए मदद चाहिये .",1 If you Kohri relatives are caring for disabled children or Ihrir friends Hrinhen needs support to live at home with them.
34354,indic2012,Due to death of the cruel king people became happy and they celebrate by lighting ghee lamp.,इस नृशंस राक्षस के वध से जनता में अपार हर्ष फैल गया और प्रसन्नता से भरे लोगों ने घी के दीए जलाए।,This dastardly spread delighted the public slaughter of monsters and people full of joy who lit the flame of fuel.
64324,ted,that want to kind of build that dream with us.,जो हमारा सपना साकार करने के लिये साथ आना चाहते हैं ।,For those who want to come together to realize our dream.
56354,ted,the same age Bruce Lee was when he died.,"यही ब्रूस ली की उम्र थी, जब उसकी मृत्यु हुई थी।",That Bruce Lee was the age when he died.
5184,indic2012,"As per the act of Terrorism, Individuals, Group or States can own this. Some definitions, confidential or semi-confidential languages are keep outside. Currently 9/11, London underground bombing and 2002's bali bombing are just planned and that information was fail to captured.",आतंकवाद के अधिनियमों के व्यक्तियों समूहों या राज्यों द्वारा चलाया जा सकता है.कुछ परिभाषाएँ गुप्त या अर्द्ध गुप्त राज्य अभिनेताओं के लिए भी युद्ध के एक राज्य के ढांचे के बाहर आतंकवादी वारदातों से बाहर ले जाना मई अनुसार.हालांकि आतंकवाद का सबसे सामान्य छवि है कि यह छोटे और गुप्त कोशिकाओं (cells)द्वारा उच्च एक विशेष कारण सेवा करने के लिए और सबसे घातक आपरेशनों के के रूप में हाल के दिनों ऐसे में कई प्रेरित 9/ 11 (9/11) लंदन भूमिगत बम विस्फोट (London underground bombing) और किया जाता है 2002 के बाली बम विस्फोट की योजना बनाई रहे थे और करीब एक गुट करीबी दोस्तों परिवार के सदस्यों और अन्य मजबूत सामाजिक नेटवर्क से बना द्वारा चलाया.इन समूहों की जानकारी और कुशल के मुक्त प्रवाह से लाभान्वित दूरसंचार सफलता हासिल करने के लिए जहाँ दूसरों को असफल रहा था.,"Can be carried out by individuals or groups of states, acts of terrorism, some definitions are secret or semi-secret state most common image According to some definitions of terrorism may go to carry out terrorist acts outside the framework of a state of war for the actors this small and secretive cells (cells) by a high specific reason to service and the most deadly operations as in recent days prompted many in the 9/11 (9/11) London underground bombings (London underground bombing) and carries the 2002 Bali bombing plans were closer to a group of close friends, family members and other strong social networks These groups of information and benefit from efficient free flow of telecommunications where success created others had failed."
21427,indic2012,"Although Akbar's army was lesser in number, yet he won the battle.",संख्या में कम होते हुए भी अकबर ने इस युद्ध मे विजय प्राप्त की।,Notwithstanding the lower number Akbar conquered in the war.
25153,ted,on the Financial Reform Bill.,जवाब है |,Answer |
60275,tides,"In his personal life too , he was a stickler for decency .",अपने व्यैक्तगत जीवन में भी उन्होंने कभी शिष्टता का दामन नहीं छोड़ .,In his Wyaktgt life he never left joined poise.
24947,indic2012,Vagina,योनि,Vagina
125509,tides,"In this , the dancers with first movement put the right foot forward and then the left and then the right again and in the fourth movement revert back to their original position .",लांबर-नृत्य में पद-संचालन की अधिक महत्व है.इसमें नर्तक सबसे पहले दाई टांग से एक कदम आगे लेते है फिर बायां-दायां-बायां तीन कदम लगातार पीछे को लिए जाते है .,Importance of post-operation Lambr dance is so dancers have the take a step forward from the first leg babysitter then left-right-left three steps are to be constantly behind.
7251,indic2012,akra kay or about army,अग्रकय या प्रतिक्रियाशील सैन्य कार्रवाई,Pre-emptive or reactive military action
114841,tides,Parents are sometimes uninformed about the level of contact and potential for serious dental injuries involved with sports in which the child participates .,"कभी-कभी तो माता-पिता को मालूम ही नहीं होता कि उनके बच्चे जो खेल खेलते हैं उसमें किस हद तक औरों के संपर्क में आने , और तत्पश्चात , दाँतों में किस हद तक गंभीर चोट लगने की संभावना होती है .","Sometimes parents know not only that their children are likely to play the game that the extent to come into contact with others, and then, seemingly extent of serious injury in the teeth."
111942,tides,"Even after he recovered , it was clear that there would have to be a change in the pace if he was to remain in reasonable working order , as it were .",स्वास्थ्य लाभ के बाद भी यह स्पष्ट था कि यदि यह माना जाये कि उन्हें उचित चालू हालत में बने रहना है तो उन्हें अपनी रफ्तार को बदलना होगा .,"After recovery, it should be clear that if it is assumed that they remain in proper working condition will be required to change its speed."
40865,tides,"But Article published in National Herald , 20 August 1939 ; reproduced from Selected Works , Volume 10 , pp . 81-83 .","20 अगस्त , 1939 को नेशनल हेराल्ड में प्रकाशित लेख.सेलेक़्टेड वर्क़्स , वाल्यूम 10 , पृ . 81-83 से","On August 20, L939 National published in Herald Lekkselekhted Vrkhs, Volume 10, p. From 81-83"
68273,tides,"Thus the days of legislation by the Executive were practically over , and the making of laws was no longer considered to be the exclusive business of the Executive -RRB- .",इस प्रकार कार्यापालिका द्वारा विधान बनाए जाने के Zदिन व्यावहारिक रूप से बीत गए और यह समझा जाने लगा कि विधान बनाना केवल कार्यपालिका का ही कार्य नहीं है .,Thus passed the Z day to create legislation Caryapalika practical and understood was that not only act only executive legislate.
58340,indic2012,"On the basis of the basic principles of the Quran, there is no conflict among muslims.",कुरान के मूल आधार पर मुसलमानों के किसी गुट में कोई टकराव नहीं ‎है।,Koran The basic premise of a group of Muslims is no conflict.
52807,tides,Willingness on both sides to talk to solve the problems is important .,समस्याओं के हल के लिए दोनों पक्षों में बातचीत की इच्छा होना ज्यादा जरूरी है .,Be willing to negotiate on both sides to resolve the problems is important.
87096,tides,"At last the police caught up with him and , as stated earlier , he was arrested in Bombay on 21 July 1931 .","आखिरकार पुलिस उन्हें पा गई और जैसा पहले कहा जा चुका है वे बंबई में जुलाई 21,1931 को गिरफ्तार कर लिया गए .","Finally, the police went to find them, as has been said before they were arrested on July 21.1931 in Bombay."
19074,tides,"The Japanese government offered to confer on him the highest decoration as a foreign dignitary , Netaji turned the offer down saying that he could accept no decoration until India was emancipated .",जापान सरकार ने सम्मानित विदेशी अतिथि की हैसियत से उन्हें अपने सर्वोच्च अलंकरण से विभूषित करने का प्रस्ताव रखा.लेकिन नेताजी ने यह कहते हुए वह प्रस्ताव ठुकरा दिया कि भारत के दासतामुक़्त होने तक वे कोई भी अलंकरण स्वीकार नहीं कर सकते .,Japanese government honored him as a foreign guest was telling him the Rkhaklekin politician proposed to confer its highest award he rejected proposal until that Dasatamukht India they may not accept embellishments.
114184,ted,all the way up to brilliant scientists and engineers.,एक प्रतिभाशाली वैज्ञानिकों और इंजीनियरों बनने का रास्ता तय कर सकती है.,May be the way to go to become a talented scientists and engineers.
35382,indic2012,.jaiminia - branch,जैमिनीय-शाखा।,Jaminiy branch.
26771,ted,I'm a convict; I am branded 'wrong.',मैं दोषी हूँ; मुझ पर छापा गया है कि मैं 'गलत' हूँ |,I am guilty; Has been featured on me that I&#39;m wrong &#39;|
34255,indic2012,the same year a special award was given away in the 50th film fare award which was listed in the best films of the last 50 years.,उसी साल ५० वें वार्षिक फिल्म फेयर पुरस्कार के निर्णायकों ने एक विशेष पुरस्कार दिया जिसका नाम ५० सालों की सर्वश्रेष्ठ फ़िल्म फिल्मफेयर पुरूस्कार था।,A special award in the same year the 50th judges Annual Filmfare Awards named Best Film of 50 Years Filmfare.
45209,indic2012,New Mexico,न्यू मेक्सिको,New Mexico
895,tides,"However , every time the period of reservation comes to an end , the Government in its wisdom decides to extend it further by amending the relevant provision of the Constitution -LRB- article 334 -RRB- .",लेकिन हर बार जब आरक्षण की अवधि समाप्त हो जाती है तो सरकार अपने विवेकानुसार उसे और बढ़ाने का निश्चय करती है और उसके लिए संविधान के संबद्ध उपबंध में संशोधन कर देती है ( अनुच्छेद 334 ) .,"But so is every time expired reservation period, the Government amended the relevant provisions of the Constitution decides to increase its discretion and that (article 334)."
57840,indic2012,He stopped the religion conversion among the was prisoners.,इसके अतिरिक्त उसने जबर्दस्ती युद्धबंदियो का धर्म बदलवाना भी बंद करवा दिया।,"In addition, he had to replace the closed religion of force Yuddhbandio."
93357,tides,"During the early phases of the Kargil war , India 's military intelligence was seriously handicapped by the absence of personnel with an adequate command over Pushto dialects .",कारगिल युद्ध के शुऋआती दऋर में भारत का सैन्य गुप्तचर तंत्र पश्तो भाषा अच्छी तरह जानने वाले कर्मचारी के अभाव में खासा लाचार था .,Kargil military intelligence apparatus of India Shuhriati Dhrir war was quite helpless in the absence of employee Pushto language well.
63172,indic2012,he played his first series of cricket matches for Mumbai at the age of 14.,उन्होंने अपना पहला प्रथम श्रेणी क्रिकेट मैच मुंबई के लिये १४ वर्ष की उम्र मे खेला।,He scored his maiden first-class played on a cricket match in Mumbai on 14 years.
65217,ted,He looked at the demographics.,उन्होंने इस शहर की जनसांख्यिकी को देखा।,He looked at the city&#39;s demographics.
121050,indic2012,Hajrat Muhammad Salallalahu alaihi vasllam received his first message from the God at Hira Cave near Mecca.,मक्का के पास स्थित हिरा की गुफा जहां हजरत मुहम्मद सल्लल्लाहु अलैहि वसल्लमको ईश्वर से पहला सन्देश मिला था।,Cave of diamond near Mecca where Hazrat Muhammad Sllllahu peace Vsllmko was the first message from God.
17655,tides,For such transfusions will give rise to antibodies in mother 's bloodstream and some of them could linger in her blood for years .,कऋ-ऊण्श्छ्ष्-योंकि ऐसे ऋधिर आधानों के कारण मां के र> में ऐसे प्रतिपिंड उतऋ-ऊण्श्छ्ष्-पनऋ-ऊण्श्छ्ष्-न हो सकते हैं जो मां के र> में काफी वर्षों तक बने रहेंगे .,"Khri-Unshrcrsh-because, in and of mother due to such Hridir containers&gt; There can be no antibody Uthri-Unshrcrsh-Panhri-Unshrcrsh-which will remain long years and the mother&gt;."
92762,tides,This enumeration of the freedoms has however been held to be not exhaustive by the courts for the full enjoyment of the democratic values of a free citizen .,लेकिन न्यायालयों ने एक स्वतंत्र नागरिक के लोकतंत्रात्मक मूल्यों का पूरा पूरा लाभ उठाने के लिए इन स्वतंत्रताओं को सर्वांगीण नहीं माना है .,But courts have to take full advantage of the democratic values of a free citizen did not round these liberties.
83666,indic2012,"Although the solar energy is utilized in many different ways, but the conversion of solar energy to electrical energy is only known as the form of solar energy.",वैसे तो सौर उर्जा के विविध प्रकार से प्रयोग किया जाता है किन्तु सूर्य की उर्जा को विद्युत उर्जा में बदलने को ही मुख्य रूप से सौर उर्जा के रूप में जाना जाता है।,"Although used by a wide variety of solar energy, but the change in the electrical energy of the sun&#39;s energy known as the mainly solar energy."
117655,tides,"The work has just been started - by a few individuals - and in times to come we will be able to get an idea of not only the history of our instruments , but of their fantastic variety .","कुछ व्यक्तियों द्वारा कार्य की शुरुआत भी हो चुकी है और आने वाले समय में न केवल हम अपने वाद्यों का इतिहास जानने में समर्थ होंगे , बल्कि उनके विचित्र भेद-प्रभेदों से भी परिचित हो सकेंगे .","Some early work by individuals has also not only in the coming years we will be able to learn the history of their instruments, but will also be familiar with their bizarre distinction strains."
41739,ted,"of course, this being America.","बिल्कुल, यह अमेरिका है।","Of course, this is America."
13356,ted,"and that they aren't slowing down and stopping,","और यह भी कि वे थम नहीं रहे, रुक नहीं रहे,","And also that they are not stopped, are not stopped,"
97766,ted,"And the answer of course, like so many things in the world,","और बेशक जवाब है, जैसे दुनिया में कई चीज़ों के लिए होता है,","And of course the answer is, like many things in the world,"
73832,tides,"Quit India Movement : The Congress Working Committee passed a resolution at Wardha in July , 1942 demanding the withdrawal of the British from India .","भारत छोड़ो आंदोलन : जुलाई , 1942 में वर्धा में कांग्रेस कार्यकारिणी ने एक प्रस्ताव पास किया जिसमें मांग की गई थी कि अंग्रेज भारत छोड़कर चले जाएं .","Quit India Movement in Wardha In July 1942, Congress Working Committee had went to pass a resolution which demands that go Englishman except India."
